source_id,source_url,path,geothermal_system,latitude,longitude,name,map_description,source,source_licence,attribution,parsed_at_utc
244,https://1000springs.org.nz/samplesite/244,/samplesite/244,Waimangu,-38.2831,176.3967,Waimangu Stream Feature 1,Stream that flows from Frying Pan Lake. Sample taken as close to the start of the outlet as possible. Lots of gas and green biomass floating.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.274874+00:00
245,https://1000springs.org.nz/samplesite/245,/samplesite/245,Waimangu,-38.2828,176.3977,Waimangu Stream Feature 2,"Waimangu Stream, about 150m downstream from lake and where feature 1 was taken. Fast flowing.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275095+00:00
246,https://1000springs.org.nz/samplesite/246,/samplesite/246,Waimangu,-38.2828,176.3991,Waimangu Stream Feature 3,"This sample was taken further downstream of Feature 2, at first bridge that crosses over Waimangu Stream. Lots of green biomass on the bed of the stream. Matt's phone likes to swim here sometimes. Lots of overhanging grass on the stream banks too.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275142+00:00
247,https://1000springs.org.nz/samplesite/247,/samplesite/247,Waimangu,-38.2828,176.3993,Waimangu Stream Feature 4,"This sample was taken from Waimangu Stream, downstream from the Inferno Crater inlet and the second bridge of stream, but before Clamshell Spring. There is a large rock on the stream's edge. Long grass overhangs the banks.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275178+00:00
248,https://1000springs.org.nz/samplesite/248,/samplesite/248,Waimangu,-38.2831,176.4009,Waimangu Stream Feature 5,"This sampling point was near Bus Stop 1 at Waimangu, down the embankment by the start of the path to Inferno Crater. It is fast flowing with lots of green biomass. The stream separates into a v-shape by an island immediately after the sampling point. Lots of trees overhang also.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275215+00:00
249,https://1000springs.org.nz/samplesite/249,/samplesite/249,Waimangu,-38.2758,176.4132,Waimangu Stream Feature 7,Sample taken near inlet of Waimangu Stream to Lake Rotomahana. Lots of black swans nearby at the time of sampling. Some trees overhang also and there is grass on the banks.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275241+00:00
250,https://1000springs.org.nz/samplesite/250,/samplesite/250,Waimangu,-38.2785,176.4104,Waimangu Stream Feature 6,This sample was taken close to the bridge near Bus Stop 2 at Waimangu. The stream has a medium flow rate at this point and has also widened considerably from upstream. There is long grass on both banks. And lots of biomass on the bed of the stream.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275273+00:00
251,https://1000springs.org.nz/samplesite/251,/samplesite/251,Waimangu,-38.2779,176.4095,Waterfall Spring,This spring flows into a small pool (like a small waterfall) which then overflows into the stream at Warbrick Terrace. Lots of vegetation overhangs and rocks make up the spring bed.,manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275297+00:00
252,https://1000springs.org.nz/samplesite/252,/samplesite/252,Waimangu,-38.2784,176.4088,Warbrick Terrace Feature 1,"This is the main spring at Warbrick Terrace. It has a small amount of overhanging vegetation at the back but otherwise, it is surrounded by an orange, spongy biomat. No outflow visible.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275323+00:00
253,https://1000springs.org.nz/samplesite/253,/samplesite/253,Waimangu,-38.2781,176.4091,Warbrick Terrace Feature 2,"Small spring, burnt orange in colour, about 30m downstream of Feature 1 on the Warbrick plateau. A green/orange biomat surrounds this spring, small outflow onto the mat.",manually saved 1000 Springs mapsearch page source,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,"1000 Springs Project authors, GNS Science, and University of Waikato",2026-05-27T04:53:01.275347+00:00
